No,店舗名,住所,緯度,経度
1,イトーヨーカドー赤羽店,〒115-0055 東京都北区赤羽西1-7-1,35.777177,139.719352
2,イトーヨーカドー昭島店,〒196-0014 東京都昭島市田中町562-1,35.714068,139.362137
3,イトーヨーカドー綾瀬店,〒120-0005 東京都足立区綾瀬3-4-25,35.762702,139.825493
4,イトーヨーカドー大井町店,〒140-0014 東京都品川区大井1-3-6,35.607209,139.733862
5,イトーヨーカドー大森店,〒143-0016 東京都大田区大森北2-13-1,35.586440,139.732969
6,イトーヨーカドー亀有駅前店,〒125-0061 東京都葛飾区亀有3-26-1,35.766347,139.848386
7,イトーヨーカドー木場店,〒135-0042 東京都江東区木場1-5-30,35.666103,139.804152
8,イトーヨーカドー小岩店,〒133-0057 東京都江戸川区西小岩1-24-1,35.733643,139.881555
9,イトーヨーカドー国領店,〒182-0022 東京都調布市国領町8-2-64,35.646767,139.563999
10,イトーヨーカドー高砂店,〒125-0054 東京都葛飾区高砂3-12-5,35.750621,139.868768
11,イトーヨーカドー多摩センター店,〒206-0033 東京都多摩市落合1-44,35.623724,139.423984
12,イトーヨーカドー八王子店,〒193-0941 東京都八王子市狭間町1462-1,35.641667,139.311111
13,イトーヨーカドー東久留米店,〒203-0053 東京都東久留米市本町3-8-1,35.761048,139.530398
14,イトーヨーカドー東村山店,〒189-0014 東京都東村山市本町2-2-19,35.760778,139.467367
15,イトーヨーカドー曳舟店,〒131-0046 東京都墨田区京島1-2-1,35.717676,139.818296
16,イトーヨーカドー南大沢店,〒192-0364 東京都八王子市南大沢2-28-1,35.614488,139.379705
17,イトーヨーカドー武蔵小金井店,〒184-0004 東京都小金井市本町6-14-9,35.701128,139.504229
18,イトーヨーカドー武蔵境店,〒180-0023 東京都武蔵野市境南町2-2-20,35.702580,139.544520
19,イトーヨーカドー四つ木店,〒124-0011 東京都葛飾区四つ木2-21-1,35.734676,139.837330
20,イトーヨーカドーアリオ西新井店,〒123-0843 東京都足立区西新井栄町1-20-1,35.774431,139.789133
21,イトーヨーカドーアリオ亀有店,〒125-0061 東京都葛飾区亀有3-49-3,35.764505,139.852699
22,イトーヨーカドーアリオ葛西店,〒134-0084 東京都江戸川区東葛西9-3-3,35.656910,139.873210
23,イトーヨーカドーアリオ北砂店,〒136-0073 東京都江東区北砂2-17-1,35.680674,139.826880
24,イトーヨーカドー伊勢原店,〒259-1132 神奈川県伊勢原市桜台1-8-1,35.394932,139.313067
25,イトーヨーカドー大船店,〒247-0056 神奈川県鎌倉市大船6-1-1,35.352467,139.539719
26,イトーヨーカドー小田原店,〒250-0872 神奈川県小田原市中里296-1,35.281861,139.180252
27,イトーヨーカドー桂台店,〒247-0034 神奈川県横浜市栄区桂台中15-1,35.353380,139.566370
28,イトーヨーカドー上永谷店,〒241-0801 神奈川県横浜市港南区丸山台1-12,35.399580,139.574670
29,イトーヨーカドー川崎店,〒210-0843 神奈川県川崎市川崎区小田栄2-2-1,35.517336,139.713508
30,イトーヨーカドー古淵店,〒252-0344 神奈川県相模原市南区古淵3-13-33,35.555890,139.419400
31,イトーヨーカドー相模原店,〒252-0313 神奈川県相模原市南区松が枝町17-1,35.514780,139.431050
